#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
200.0,2851,950.774418
260.0,2559,952.81155
280.0,3127,955.265813
270.0,2153,956.98807
300.0,3001,959.357612
200.0,2081,960.99436
535.0,3323,968.487959
240.0,1967,970.036696
235.0,1961,971.601066
250.0,3841,974.630793
405.0,2749,976.794815
360.0,2687,978.91132
340.0,3669,981.806113
210.0,1579,983.085275
220.0,1437,984.223994
180.0,1635,985.517489
225.0,1533,986.746116
300.0,3318,989.388715
195.0,3069,991.821852
270.0,2846,994.071074
245.0,2445,995.994549
180.0,1751,997.377457
255.0,2505,999.376388
150.0,2029,1000.97267
255.0,2891,1003.246007
315.0,2657,1005.354442
440.0,2797,1007.567862
325.0,3131,1010.037158
225.0,1537,1011.256474
270.0,2209,1012.999155
525.0,4207,1016.32075
285.0,2956,1018.650048
210.0,2035,1020.261568
215.0,1979,1021.835155
270.0,2597,1023.922523
150.0,1573,1025.161207
295.0,2817,1027.395223
160.0,1457,1028.543213
300.0,2227,1030.322776
230.0,2817,1032.554194
160.0,1549,1033.779172
285.0,3061,1036.201672
290.0,3395,1038.916023
225.0,2181,1040.63832
100.0,1357,1041.709212
525.0,3885,1044.792588
405.0,4645,1054.607488
230.0,2083,1056.267709
290.0,2711,1058.424812
305.0,2925,1060.735707
290.0,2967,1063.102968
285.0,2581,1065.133522
260.0,2281,1066.950225
20.0,1005,1067.727171
350.0,3411,1070.441035
255.0,1953,1071.993574
220.0,2445,1073.92082
250.0,2195,1075.666445
190.0,1483,1076.826604
295.0,3035,1079.231004
200.0,1889,1080.732763
185.0,1977,1082.295188
240.0,1941,1083.834594
125.0,1363,1084.927564
495.0,3197,1087.491106
190.0,2027,1089.111755
330.0,3191,1091.667406
150.0,1911,1093.187175
220.0,2071,1094.823287
80.0,1285,1095.835103
165.0,1873,1097.317174
385.0,3121,1099.803403
275.0,2233,1101.564019
200.0,2183,1103.307572
155.0,1557,1104.541555
225.0,1681,1105.878212
240.0,3251,1108.461952
300.0,2285,1110.273728
290.0,2737,1112.455267
90.0,1067,1113.30677
290.0,2826,1115.56898
260.0,2241,1117.373745
255.0,2091,1119.044039
545.0,2810,1121.300802
95.0,1453,1122.449769
85.0,1159,1123.372164
610.0,3289,1125.988398
265.0,2435,1127.944422
420.0,3197,1130.47044
135.0,1397,1131.577462
235.0,2027,1133.191101
285.0,3415,1141.723017
110.0,1049,1142.548019
440.0,3424,1145.26289
105.0,1361,1146.346165
135.0,1683,1147.677189
140.0,1543,1148.900743
185.0,1899,1150.422414
390.0,3045,1152.807041
80.0,1547,1154.024771
355.0,3179,1156.539679
300.0,2417,1158.460993
175.0,2119,1160.139998
215.0,2181,1161.857113
290.0,2771,1164.075287
300.0,2583,1166.113152
695.0,3879,1169.160634
300.0,2583,1171.227547
480.0,2593,1173.294183
270.0,2969,1175.639985
250.0,2129,1177.324155
245.0,2103,1178.990062
450.0,3595,1181.823664
190.0,2135,1183.50909
435.0,2637,1185.619212
290.0,2915,1187.896765
315.0,2715,1190.044985
205.0,1963,1191.61202
255.0,2615,1193.713663
500.0,3693,1196.618574
65.0,1655,1197.934476
290.0,2225,1199.720523
175.0,1761,1201.112083
215.0,2861,1203.384817
235.0,3181,1205.886794
70.0,1493,1207.070375
85.0,1355,1208.128691
145.0,1895,1209.627962
170.0,1687,1210.946607
220.0,3131,1213.439188
105.0,1487,1214.593046
215.0,2169,1216.309982
100.0,1503,1217.516608
255.0,2465,1219.466144
220.0,2407,1226.399578
315.0,2680,1228.537534
55.0,1707,1229.882982
160.0,2209,1231.621289
365.0,2281,1233.483928
25.0,935,1234.215004
215.0,2457,1236.181576
105.0,1143,1237.079945
40.0,1073,1237.953672
155.0,2487,1239.933628
190.0,1853,1241.412971
255.0,2041,1243.043545
125.0,2045,1244.646031
245.0,2153,1246.343354
225.0,2289,1248.139016
375.0,2831,1250.378677
245.0,2575,1252.430723
290.0,2599,1254.469471
70.0,1323,1255.510895
130.0,1915,1257.035948
105.0,1403,1258.153566
120.0,1513,1259.356385
155.0,2133,1261.061503
140.0,1509,1262.24613
140.0,1375,1263.326149
340.0,2615,1265.399651
215.0,2431,1267.324219
85.0,1943,1268.914295
165.0,2199,1270.659419
430.0,2421,1272.576122
180.0,1671,1273.904371
465.0,2595,1275.935907
275.0,3077,1278.390509
260.0,2831,1280.614743
415.0,2701,1282.756506
405.0,3027,1285.179012
10.0,1067,1286.009544
170.0,1683,1287.33662
115.0,1519,1288.551886
535.0,3059,1290.979037
135.0,1395,1292.083609
195.0,1907,1293.598666
245.0,2591,1295.670522
135.0,1509,1296.866952
330.0,2517,1298.877139
65.0,1215,1299.829819
85.0,1283,1300.865123
80.0,1243,1301.8425
15.0,957,1302.608012
105.0,1555,1303.837487
210.0,1551,1305.069544
145.0,1665,1306.387466
220.0,2579,1312.670767
135.0,2405,1314.577674
155.0,1867,1316.047756
55.0,1165,1316.961884
155.0,2327,1318.843796
160.0,2723,1321.001519
135.0,1831,1322.489154
470.0,2713,1324.635084
70.0,1241,1325.602432
60.0,1059,1326.473037
25.0,1135,1327.366899
85.0,1195,1328.296869
165.0,1565,1329.54161
190.0,1793,1330.95079
95.0,1399,1332.069768
135.0,1467,1333.230011
210.0,1599,1334.494714
105.0,1659,1335.819095
185.0,2335,1337.657588
125.0,1365,1338.721992
260.0,1993,1340.35016
110.0,1385,1341.445961
325.0,2409,1343.353704
235.0,1917,1344.886475
235.0,1927,1346.418577
185.0,1817,1347.844233
235.0,2269,1349.661582
150.0,1721,1351.013101
200.0,1701,1352.35094
140.0,1755,1353.75524
275.0,1779,1355.150575
105.0,1841,1356.637261
115.0,1383,1357.716014
235.0,2161,1359.414568
275.0,1839,1360.89079
110.0,1489,1362.069091
200.0,2167,1363.813913
230.0,2173,1365.553556
190.0,1571,1366.794403
185.0,2211,1368.567653
160.0,1579,1369.820962
240.0,1881,1371.311821
295.0,1975,1372.882992
225.0,2081,1374.545857
335.0,2683,1376.68247
135.0,1533,1377.975224
75.0,2379,1379.888934
170.0,1621,1381.190875
565.0,3270,1383.772913
260.0,2121,1385.439347
140.0,1713,1386.803862
460.0,3513,1389.55698
85.0,1431,1390.685399
85.0,1103,1391.562536
45.0,1551,1397.929744
490.0,2505,1399.950207
90.0,1839,1401.416168
50.0,987,1402.178037
460.0,2907,1404.503453
210.0,1637,1405.796453
50.0,1387,1406.889282
385.0,3203,1409.442343
45.0,1317,1410.482401
205.0,2211,1412.236854
105.0,1217,1413.206072
90.0,1269,1414.20154
405.0,2617,1416.280802
295.0,2285,1418.086562
210.0,2093,1419.742975
110.0,1435,1420.910981
70.0,1281,1421.918918
120.0,1411,1423.04602
295.0,2755,1425.254154
160.0,2141,1426.955536
275.0,2371,1428.865795
375.0,2582,1430.916775
175.0,1849,1432.3772
195.0,2293,1434.213215
130.0,1487,1435.391348
175.0,1717,1436.757099
195.0,1661,1438.08493
215.0,2217,1439.836666
195.0,1775,1441.241037
330.0,2487,1443.233077
185.0,2029,1444.844616
250.0,2021,1446.490732
115.0,1465,1447.65119
265.0,2419,1449.567225
335.0,2799,1451.803126
355.0,2615,1453.88183
360.0,2739,1456.034861
315.0,2937,1458.354371
245.0,3532,1461.142448
395.0,2803,1463.335806
70.0,1463,1464.480417
100.0,1515,1465.69762
370.0,2737,1467.852522
265.0,2429,1469.780869
270.0,3180,1472.296575
340.0,2617,1474.371345
185.0,2095,1476.044554
195.0,1875,1477.533081
195.0,1617,1483.493808
125.0,1391,1484.596051
350.0,2085,1486.237683
210.0,1693,1487.56689
290.0,3018,1490.003679
70.0,1223,1490.961165
225.0,1925,1492.497197
95.0,1857,1494.017289
55.0,1665,1495.335247
105.0,1801,1496.796618
145.0,1729,1498.152609
240.0,2167,1499.880419
55.0,1379,1500.979583
200.0,2271,1502.775398
395.0,2847,1505.03302
215.0,2211,1506.78013
80.0,1075,1507.621409
720.0,3251,1510.230873
125.0,1477,1511.386723
280.0,2629,1513.472048
135.0,1517,1514.670999
115.0,1237,1515.639499
200.0,2059,1517.303811
225.0,2381,1519.193953
105.0,1519,1520.391052
325.0,2705,1522.539707
110.0,1329,1523.579614
295.0,2001,1525.17584
125.0,1211,1526.144237
75.0,1061,1526.980042
165.0,1441,1528.144861
240.0,2211,1529.913032
85.0,2181,1531.647059
295.0,2257,1533.435895
255.0,1937,1534.963845
250.0,2467,1536.949842
135.0,1137,1537.840863
330.0,2185,1539.579657
245.0,2313,1541.4326
225.0,2517,1543.419591
155.0,2119,1545.110576
250.0,2833,1547.395819
160.0,1837,1548.854874
205.0,2595,1550.933608
125.0,1889,1552.421639
210.0,2713,1554.579756
430.0,2823,1556.800516
215.0,1969,1558.349338
315.0,2999,1560.730847
305.0,2781,1562.918777
290.0,2823,1568.857592
190.0,1765,1570.281205
95.0,1159,1571.199633
95.0,1151,1572.12103
240.0,2629,1574.204933
140.0,1417,1575.327645
170.0,2091,1576.982024
165.0,1505,1578.197395
155.0,1937,1579.719381
370.0,2823,1581.969593
170.0,1617,1583.243145
